,year,MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,UBIGEO,DOMINIO,ESTRATO,P201P,P203,P203A,P203B,P204,P205,P206,P207,P208A,P208B,P209
23770,2019,05,005241,035,11,04,021103,2.0,8.0,20190052410351104,3.0,1.0,3.0,1.0,2.0,,2.0,0.0,1.0,
23775,2019,11,006100,158,11,02,070102,8.0,1.0,20190061001581102,2.0,1.0,2.0,1.0,2.0,,2.0,60.0,,2.0
23777,2019,01,006870,058,11,04,110104,2.0,8.0,20190068700581104,3.0,1.0,3.0,1.0,2.0,,1.0,11.0,,
23779,2019,01,009495,109,11,05,240101,1.0,3.0,20190094951091105,3.0,2.0,1.0,2.0,,2.0,2.0,23.0,,1.0
23780,2019,09,009124,051,11,04,220101,7.0,4.0,20190091240511104,3.0,1.0,3.0,1.0,2.0,,1.0,9.0,,
23782,2019,08,006479,148,11,01,090308,5.0,6.0,20190064791481101,1.0,0.0,1.0,1.0,2.0,,2.0,89.0,,3.0
23783,2019,07,005590,057,11,08,040401,6.0,5.0,20180055900571102,0.0,,,,,,,,,
23786,2019,10,008507,070,11,02,180101,3.0,3.0,20190085070701102,3.0,1.0,3.0,1.0,2.0,,2.0,18.0,,6.0
23788,2019,02,005948,116,11,02,060401,4.0,7.0,20190059481161102,2.0,1.0,2.0,1.0,2.0,,2.0,66.0,,2.0
23789,2019,06,008276,112,11,02,160501,7.0,4.0,20190082761121102,3.0,1.0,3.0,1.0,2.0,,1.0,20.0,,6.0
23790,2019,07,010287,026,11,01,160104,7.0,7.0,20190102870261101,1.0,1.0,1.0,1.0,2.0,,1.0,73.0,,2.0
23791,2019,05,005188,017,11,07,021801,2.0,2.0,20190051880171107,3.0,0.0,1.0,2.0,,2.0,1.0,25.0,,1.0
23792,2019,01,010010,082,11,03,021809,2.0,2.0,20190100100821103,3.0,2.0,1.0,1.0,2.0,,2.0,23.0,,5.0
23793,2019,03,008104,063,11,05,150513,2.0,5.0,20190081040631105,6.0,0.0,1.0,1.0,2.0,,1.0,94.0,,3.0
23799,2019,04,005326,037,11,01,020304,5.0,6.0,20170053260371101,1.0,0.0,1.0,1.0,2.0,,2.0,70.0,,3.0
23802,2019,07,008130,273,11,01,150605,2.0,7.0,20190081302731101,1.0,1.0,1.0,1.0,2.0,,1.0,40.0,,2.0
23804,2019,04,007025,097,11,05,120402,5.0,7.0,20190070250971105,3.0,1.0,3.0,1.0,2.0,,1.0,4.0,,
